Temat,Metoda,Odpowiedz
"Pamięć, kontekst i mechanizm uwagi",RegExp,"Tymczasem słowniki tokenów w modelach LLM (jak GPT czy LLaMA) są znacznie mniejsze (ok. 50-250 tysięcy pozycji). Jak to możliwe, że LLM-y tak dobrze radzą sobie z polską fleksją, mimo mniejszego słownika? To pytanie zostawiam państwu do przemyślenia. Problem 3: Wieloznaczność i kontekst
Fleksja wiąże się z wieloznacznością. Forma ""wirusowi"" może być celownikiem rzeczownika ""wirus"" (przyglądam się wirusowi) lub formą przymiotnika ""wirusowy"" (pacjenci wirusowi)."
"Pamięć, kontekst i mechanizm uwagi",RegExp,"Polskie znaki zajmują w nim zwykle 2 bajty. UTF-16 i UTF-32: Inne sposoby zapisu Unicode. UTF-32 zawsze używa 4 bajtów, co ułatwia indeksowanie, ale zużywa dużo pamięci. W Pythonie funkcje ord() i chr() pozwalają na konwersję między znakiem a jego wartością liczbową. Warto też pamiętać o bibliotece unidecode, która potrafi dokonać transliteracji znaków narodowych do ASCII (np. ""żółtaczka"" -> ""zoltaczka"", znaki chińskie -> zapis fonetyczny). 6. Emotikony i Złożone Symbole
Współczesny tekst zawiera emotikony."
"Pamięć, kontekst i mechanizm uwagi",RegExp,"Biblioteka demoji w Pythonie pozwala zamienić emotikony na ich opis tekstowy (np. 🎅 -> Święty Mikołaj), co ułatwia analizę semantyczną. Ciekawostką są modyfikatory, np. koloru skóry. Często jeden ""widoczny"" symbol to w rzeczywistości sekwencja kilku znaków połączonych specjalnym znakiem łączącym (Zero Width Joiner), np. ""sędzia"" + ""kolor skóry"". 7. Odległość Edycyjna (Levenshteina)
Algorytm wprowadzony w 1965 roku."
"Pamięć, kontekst i mechanizm uwagi",BM25 (ES),"Innym parametrem było „pokrewieństwo semantyczne”, wyliczane na podstawie wspólnych odnośników prowadzących do danych stron. Jeśli dwie strony mają wielu wspólnych „sąsiadów” w strukturze linków, uznajemy je za bliskie semantycznie. Współczesne duże modele językowe (LLM), oparte na transformerach, rozwiązują ten problem inaczej. Na wejściu reprezentacja słowa „zamek” jest identyczna, ale w trakcie przepływu przez kolejne warstwy sieci, dzięki mechanizmowi uwagi, reprezentacja ta jest aktualizowana w oparciu o kontekst."
"Pamięć, kontekst i mechanizm uwagi",BM25 (ES),"100 milionów parametrów - 100 milionów punktów danych). Problem w tym, że trudno zbudować tak wielkie zbiory danych etykietowanych. Rozwiązaniem jest Pre-training i Fine-tuning. Pre-training: Model uczy się zależności w danych na ogromnym zbiorze bez etykiet (np. tekście z internetu). Fine-tuning: Model jest dostrajany do konkretnego zadania na mniejszym zbiorze danych, przy bardzo małej szybkości uczenia, np. 10^{-5}. Mechanizm Atencji (Attention Mechanism)
APS: Mechanizm atencji został zaproponowany w 2014 roku przez Bahdanau, Cho i Bengio w kontekście tłumaczenia maszynowego."
"Pamięć, kontekst i mechanizm uwagi",BM25 (ES),"AS: Tak, rośnie do nieskończoności (eksplodujący gradient). A jeśli wartość jest mniejsza od 1? Wojciech Smolarczyk: Maleje do zera. AS: Dokładnie (zanikający gradient). To powoduje niestabilność numeryczną lub brak uczenia się sieci. Dodatkowo, popularna funkcja aktywacji (sigmoid/tanh) ma pochodne bliskie zeru w dużym obszarze, co potęguje problem zanikania. Rozwiązaniem tego problemu stała się sieć LSTM (Long Short-Term Memory) - ""Długa pamięć krótkotrwała"". Autorzy, Hochreiter i Schmidhuber (1997), wprowadzili w niej bramki."
"Pamięć, kontekst i mechanizm uwagi",Vector (Qdrant),"Idea polega na tym, że sieć decyduje, które informacje zachować, a które zapomnieć. Mamy tu:
Bramkę zapominającą (Forget Gate): decyduje, co usunąć 
z kontekstu (pamięci). Bramkę wejściową/dodającą (Input Gate): decyduje, co nowego dodać do pamięci. Bramkę wyjściową (Output Gate): decyduje, co przekazać do stanu ukrytego (h_t). W LSTM stan ukryty jest rozdzielony na:
C_t (Cell state/Context) - owa ""pamięć"", która biegnie przez całą sieć 
z mniejszymi modyfikacjami (autostrada dla gradientu)."
"Pamięć, kontekst i mechanizm uwagi",Vector (Qdrant),"Klasyczne ujęcie wyróżnia role takie jak: Dawca (wymagający woli, np. „podanie kompotu”), Myśliciel (wykonujący operacje poznawcze), czy Doświadczający (poddany doznaniom zmysłowym lub emocjom). Słuchanie i widzenie nie zawsze są zależne od woli, lecz wynikają z anatomii i bodźców zewnętrznych, choć aktywne słuchanie wymaga wysiłku poznawczego. Emocje natomiast są reakcją mózgu, której nie zawsze możemy świadomie wywołać."
"Pamięć, kontekst i mechanizm uwagi",Vector (Qdrant),"Zazwyczaj podpowiada nam to kontekst, ale nie zawsze jest on precyzyjny. Dokonujemy dezambiguacji na co dzień – to proces poznawczy, który ewolucyjnie pozwala nam przetrwać, na przykład przy rozpoznawaniu zagrożenia lub jadalnych owoców. Mamy skończoną liczbę słów, więc musimy używać tych samych wyrazów do opisu wielu pojęć. W składni operujemy podobnymi jednostkami znaczeniowymi co w semantyce."
"Pamięć, kontekst i mechanizm uwagi",Hybryda (RRF),"Idea polega na tym, że sieć decyduje, które informacje zachować, a które zapomnieć. Mamy tu:
Bramkę zapominającą (Forget Gate): decyduje, co usunąć 
z kontekstu (pamięci). Bramkę wejściową/dodającą (Input Gate): decyduje, co nowego dodać do pamięci. Bramkę wyjściową (Output Gate): decyduje, co przekazać do stanu ukrytego (h_t). W LSTM stan ukryty jest rozdzielony na:
C_t (Cell state/Context) - owa ""pamięć"", która biegnie przez całą sieć 
z mniejszymi modyfikacjami (autostrada dla gradientu)."
"Pamięć, kontekst i mechanizm uwagi",Hybryda (RRF),"Uwaga: W tej wizualizacji kolorowe paski reprezentujące input embedding są prawdopodobnie losowe (halucynacja wizualizacji), ale same wagi atencji 
i obliczenia są poprawne. Widać tam np., że przy generowaniu tekstu, głowa atencji (attention head) potrafi skupić się na poprzednich tokenach w sposób, który ma sens lingwistyczny. Wykład nr 5 - Sieci Transformer, BERT i GPT
APS:
Mieliśmy różne przebiegi funkcji, backpropagation, sieci rekurencyjne i doszliśmy do sieci transformacyjnych (Transformer). Przypomnijmy kontekst: architektura ta wzięła się z zadania tłumaczenia maszynowego."
"Pamięć, kontekst i mechanizm uwagi",Hybryda (RRF),"Oryginalnie służył do tego, by model wiedział, na który wyraz w zdaniu źródłowym patrzeć podczas generowania tłumaczenia. W Transformerze mamy Self-Attention (samo-atencję). Służy ona do tworzenia nowej, wzbogaconej reprezentacji tokenu w kontekście całego zdania. Przykład:
„The animal didn't cross the street because it was too tired.” (Tu „it” odnosi się do zwierzęcia). „The animal didn't cross the street because it was too crowded.” (Tu „it” odnosi się do ulicy). Mechanizm atencji pozwala modelowi zrozumieć te zależności. Jak to działa matematycznie?"
"Pamięć, kontekst i mechanizm uwagi",Filtrowanie (Metadane),BRAK WYNIKÓW spełniających kryteria
"Symbol, znaczenie i interpretacja",RegExp,"Z drugiej, użytkownicy są leniwi i często wpisują wszystko małymi literami, oczekując wyników niezależnie od pisowni. Ciekawostką są modele językowe (LLM). One muszą rozróżniać wielkość liter, aby generować poprawny gramatycznie tekst. Gdyby tego nie robiły, ""mówiłyby"" do nas tylko małymi literami. Jednak w systemach wyszukiwania semantycznego często ignoruje się wielkość liter, chyba że jest to kluczowe dla znaczenia (np. nazwy własne). Warto też pamiętać o pułapkach technicznych. W niektórych starszych lub źle zaprojektowanych systemach (np."
"Symbol, znaczenie i interpretacja",RegExp,"Tymczasem słowniki tokenów w modelach LLM (jak GPT czy LLaMA) są znacznie mniejsze (ok. 50-250 tysięcy pozycji). Jak to możliwe, że LLM-y tak dobrze radzą sobie z polską fleksją, mimo mniejszego słownika? To pytanie zostawiam państwu do przemyślenia. Problem 3: Wieloznaczność i kontekst
Fleksja wiąże się z wieloznacznością. Forma ""wirusowi"" może być celownikiem rzeczownika ""wirus"" (przyglądam się wirusowi) lub formą przymiotnika ""wirusowy"" (pacjenci wirusowi)."
"Symbol, znaczenie i interpretacja",RegExp,"Dla komputera to ten sam ciąg znaków, ale językowo to dwa różne słowa. Kolejna kwestia: czy szukając ""zdrowie"", chcemy znaleźć dokumenty zawierające słowo ""lekarz"" lub ""choroba""? Semantycznie są one powiązane. Modele neuronalne (wyszukiwanie semantyczne) potrafią wyłapać te powiązania 
i zwrócić takie dokumenty. Jednak czasem jest to niepożądane. W dokumentacji technicznej oznaczenia ""X1.1"" i ""X1.2"" mogą znaczyć coś zupełnie innego i nie chcemy, by model uznał je za podobne."
"Symbol, znaczenie i interpretacja",BM25 (ES),"Referent - rzecz, do której symbol się implicite odnosi, faktyczne znaczenie. Może być albo fizyczną rzeczą, albo dowolnie abstrakcyjną koncepcją. Symbol nie odnosi się do referenta wprost. Te rzeczy trzeba spoić ze sobą myślą, referencją. Służy ona za interpretator symbolu, za pomocą którego wywodzimy jego znaczenie. Innymi słowy, to narzędzie, żeby dojść do tego, ""co autor miał na myśli"". 1 Rozumienie języka jest trudne, bo trzeba posiadać takie mapowanie symbol-referent."
"Symbol, znaczenie i interpretacja",BM25 (ES),"Zadaniem w NLP jest stworzenie właśnie takiego interpretatora, który przekłada symbole na ich (potencjalnie bardzo abstrakcyjne) znaczenie. Przykład: w regulaminie przedmiotu NLP jest napisane ""Studenci nie muszą chodzić na wykłady"". Symbol: ""studenci"" Referent: grupa studentów, fizycznych ludzi Myśl: studenci to ludzie studiujący na 2 roku studiów II stopnia informatyki WIEiT uczęszczający na przedmiot NLP Interpreter musi dodać wiedzę, żeby dokonać prawidłowej interpretacji. Kodowanie znaków Kodowanie znaków - zapis podstawowych symboli językowych (np."
"Symbol, znaczenie i interpretacja",BM25 (ES),"Składa się on z trzech elementów:
Symbol: Fizyczna reprezentacja, np. znak drogowy, wyraz ""park"" (napis lub dźwięk). Referent (Odniesienie): Rzeczywisty obiekt lub zjawisko, do którego symbol się odnosi (np. fizyczny park, czynność parkowania). Myśl/Pojęcie (Szczyt trójkąta): Pośrednik między symbolem 
a referentem. Relacja między symbolem a referentem nie jest bezpośrednia (linia przerywana u podstawy trójkąta), lecz arbitralna 
i wymaga interpretacji przez użytkownika języka. Współczesne podejścia oparte na sieciach neuronowych (np."
"Symbol, znaczenie i interpretacja",Vector (Qdrant),"Składa się on z trzech elementów:
Symbol: Fizyczna reprezentacja, np. znak drogowy, wyraz ""park"" (napis lub dźwięk). Referent (Odniesienie): Rzeczywisty obiekt lub zjawisko, do którego symbol się odnosi (np. fizyczny park, czynność parkowania). Myśl/Pojęcie (Szczyt trójkąta): Pośrednik między symbolem 
a referentem. Relacja między symbolem a referentem nie jest bezpośrednia (linia przerywana u podstawy trójkąta), lecz arbitralna 
i wymaga interpretacji przez użytkownika języka. Współczesne podejścia oparte na sieciach neuronowych (np."
"Symbol, znaczenie i interpretacja",Vector (Qdrant),"Opis znaczenia można przedstawić za pomocą trójkąta semiotycznego, składającego się z symbolu, odniesienia i pojęcia. Symbol nie łączy się bezpośrednio z odniesieniem; człowiek dokonuje interpretacji i odnosi symbole do rzeczywistości. Typowy model językowy nie jest ucieleśniony i nie posiada ciała, więc nie może bezpośrednio zakorzenić się w rzeczywistości i odnieść symbolu do fizycznego obiektu. Model operuje jedynie w obszarze konceptualno-symbolicznym."
